serial,ref_file,inp_file,mask_file,psnr,ssim,lpips,masked_psnr,masked_ssim,niqe,piqe,brisque,norm_psnr,norm_ssim,norm_lpips,norm_masked_psnr,norm_masked_ssim,norm_niqe,norm_brisque,norm_piqe,combined_metric
0065,0065_beach.jpg,0065_beach_bench_inpainted.png,0065_mask_bench.png,26.41,0.929,0.0338,15.67,0.6811,5.8317,52.2216,42.7072,0.16526073619631898,0.318956870611836,0.5324858757062148,0.15087507543753773,0.5880730329699199,0.7570640686119684,0.3499146337934428,0.3263844329324168,0.20334069650287392
0066,0066_beach.jpg,0066_beach_tree_inpainted.png,0066_mask_tree.png,35.43,0.9607,0.0127,24.04,0.8463,6.1306,48.7482,44.5615,0.5111196319018405,0.6369107321965897,0.8305084745762712,0.4034399517199758,0.8050702745304085,0.7207536626254283,0.32167296442338594,0.3975899909593912,0.39570776773494026
0067,0067_beach.jpg,0067_beach_giraffe_inpainted.png,0067_mask_giraffe.png,28.88,0.9403,0.0229,16.51,0.7582,6.1113,49.3858,44.9887,0.2599693251533742,0.43229689067201627,0.6864406779661016,0.1762220881110441,0.6893471693156441,0.7230982288199423,0.3151665516773965,0.3845190334543531,0.2757413787582984
0068,0068_beach.jpg,0068_beach_plane_inpainted.png,0068_mask_plane.png,38.15,0.962,0.0066,23.47,0.8219,6.3334,52.3175,44.7253,0.6154141104294478,0.6499498495486455,0.9166666666666669,0.3862401931200965,0.7730198344936292,0.6961174955659759,0.3191782303227468,0.32441845924243384,0.436406125328952
0069,0069_beach.jpg,0069_beach_car_inpainted.png,0069_mask_car.png,24.11,0.9257,0.0324,13.45,0.5193,6.0603,51.0053,44.0728,0.0770705521472392,0.28585757271815415,0.5522598870056498,0.08388654194327096,0.3755418363325889,0.729293714618917,0.32911604473463374,0.35131888339254497,0.1830376023742086
0070,0070_beach.jpg,0070_beach_book_inpainted.png,0070_mask_book.png,22.52,0.9114,0.0645,12.12,0.5555,5.7793,49.8721,45.5205,0.01610429447852754,0.1424272818455365,0.09887005649717505,0.043753771876885915,0.4230920793379745,0.7634296265701306,0.3070670425521222,0.37454976332464807,0.05148032656424781
0071,0071_beach.jpg,0071_beach_ronaldo_inpainted.png,0071_mask_ronaldo.png,37.83,0.9636,0.0072,27.65,0.8618,6.021,50.0891,44.4951,0.603144171779141,0.6659979939819459,0.9081920903954803,0.5123717561858779,0.8254301852095101,0.7340678830875387,0.3226842607865266,0.3701012097195771,0.4354668512313134
0072,0072_beach.jpg,0072_beach_mug_inpainted.png,0072_mask_mug.png,32.83,0.9569,0.0138,18.79,0.6881,6.3464,47.1808,44.8347,0.4114263803680981,0.5987963891675022,0.8149717514124294,0.24502112251056124,0.597267831341127,0.6945382540878059,0.31751202818227103,0.4297220781510418,0.36503890418960594
0073,0073_brick.jpg,0073_brick_bench_inpainted.png,0073_mask_bench.png,26.46,0.8972,0.0681,17.15,0.5306,4.7187,30.6807,25.2086,0.16717791411042943,0.0,0.048022598870056506,0.19553409776704883,0.39038486798896616,0.8922714351660634,0.6164247322882256,0.7679782041373598,0.04304010259609718
0074,0074_brick.jpg,0074_brick_tree_inpainted.png,0074_mask_tree.png,26.56,0.9042,0.0715,16.87,0.4293,4.8938,30.8148,26.0209,0.1710122699386502,0.07021063189568712,0.0,0.1870850935425468,0.2573230001313543,0.8710002672562503,0.6040531052433585,0.7652291210109081,0.04824458036686746
0075,0075_brick.jpg,0075_brick_giraffe_inpainted.png,0075_mask_giraffe.png,28.88,0.9293,0.0508,18.06,0.634,4.8709,30.4112,25.9238,0.2599693251533742,0.3219658976930794,0.2923728813559322,0.2229933614966807,0.5262051753579403,0.8737821618601036,0.6055319738707826,0.7735030207113996,0.17486162084047716
0076,0076_brick.jpg,0076_brick_plane_inpainted.png,0076_mask_plane.png,28.98,0.9416,0.0353,18.03,0.4323,5.6934,31.2208,25.04,0.26380368098159507,0.44533600802407214,0.5112994350282486,0.22208811104405554,0.26126362800472874,0.7738647683374233,0.6189925721500558,0.7569060207175498,0.24408782480678318
0077,0077_brick.jpg,0077_brick_car_inpainted.png,0077_mask_car.png,27.53,0.923,0.0518,16.39,0.2334,4.9344,30.5697,23.4696,0.20820552147239263,0.2587763289869613,0.27824858757062143,0.17260108630054316,0.0,0.8660681746398116,0.6429103403530095,0.7702537315574653,0.14904608760599505
0078,0078_brick.jpg,0078_brick_book_inpainted.png,0078_mask_book.png,28.86,0.9315,0.0462,17.63,0.4576,5.0563,30.5129,25.9392,0.25920245398773,0.34403209628886655,0.3573446327683616,0.21001810500905246,0.2944962564035203,0.8512597487791249,0.6052974262202951,0.7714181455886544,0.19211583660899165
